district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid,state_name
214,urban,all ages,156540,83291,73249,57621,26011,31610,98919,57280,41639,0,0,0,True,bihar
215,total,all ages,3937385,2059949,1877436,2120751,934383,1186368,1816634,1125566,691068,0,0,0,True,bihar
215,rural,all ages,3554057,1858545,1695512,1984164,874203,1109961,1569893,984342,585551,0,0,0,True,bihar
215,urban,all ages,383328,201404,181924,136587,60180,76407,246741,141224,105517,0,0,0,True,bihar
216,total,all ages,4801062,2527497,2273565,2291830,1040380,1251450,2509232,1487117,1022115,0,0,0,True,bihar
216,rural,all ages,4327625,2276812,2050813,2147202,972806,1174396,2180423,1304006,876417,0,0,0,True,bihar
216,urban,all ages,473437,250685,222752,144628,67574,77054,328809,183111,145698,0,0,0,True,bihar
217,total,all ages,2562012,1267666,1294346,1179014,473761,705253,1382998,793905,589093,0,0,0,True,bihar
217,rural,all ages,2399207,1184967,1214240,1119143,448688,670455,1280064,736279,543785,0,0,0,True,bihar
217,urban,all ages,162805,82699,80106,59871,25073,34798,102934,57626,45308,0,0,0,True,bihar
218,total,all ages,3330464,1675090,1655374,1400289,559184,841105,1930175,1115906,814269,0,0,0,True,bihar
218,rural,all ages,3147551,1579685,1567866,1340085,532769,807316,1807466,1046916,760550,0,0,0,True,bihar
218,urban,all ages,182913,95405,87508,60204,26415,33789,122709,68990,53719,0,0,0,True,bihar
219,total,all ages,3951862,2022821,1929041,1794408,737054,1057354,2157454,1285767,871687,0,0,0,True,bihar
219,rural,all ages,3598660,1838119,1760541,1666071,681179,984892,1932589,1156940,775649,0,0,0,True,bihar
219,urban,all ages,353202,184702,168500,128337,55875,72462,224865,128827,96038,0,0,0,True,bihar
220,total,all ages,3495021,1844535,1650486,1568281,691959,876322,1926740,1152576,774164,0,0,0,True,bihar
220,rural,all ages,3261942,1721221,1540721,1481955,652718,829237,1779987,1068503,711484,0,0,0,True,bihar
220,urban,all ages,233079,123314,109765,86326,39241,47085,146753,84073,62680,0,0,0,True,bihar
221,total,all ages,4261566,2230003,2031563,2118686,936428,1182258,2142880,1293575,849305,0,0,0,True,bihar
221,rural,all ages,4113769,2152273,1961496,2073187,916018,1157169,2040582,1236255,804327,0,0,0,True,bihar
221,urban,all ages,147797,77730,70067,45499,20410,25089,102298,57320,44978,0,0,0,True,bihar
222,total,all ages,2970541,1567660,1402881,1421868,649153,772715,1548673,918507,630166,0,0,0,True,bihar
222,rural,all ages,2400718,1266308,1134410,1194726,544428,650298,1205992,721880,484112,0,0,0,True,bihar
222,urban,all ages,569823,301352,268471,227142,104725,122417,342681,196627,146054,0,0,0,True,bihar
223,total,all ages,1666886,883786,783100,898858,422633,476225,768028,461153,306875,0,0,0,True,bihar
223,rural,all ages,1579727,837281,742446,867683,407981,459702,712044,429300,282744,0,0,0,True,bihar
223,urban,all ages,87159,46505,40654,31175,14652,16523,55984,31853,24131,0,0,0,True,bihar
224,total,all ages,3037766,1615663,1422103,1464700,677994,786706,1573066,937669,635397,0,0,0,True,bihar
224,rural,all ages,2435234,1295386,1139848,1251528,578596,672932,1183706,716790,466916,0,0,0,True,bihar
224,urban,all ages,602532,320277,282255,213172,99398,113774,389360,220879,168481,0,0,0,True,bihar
225,total,all ages,2034763,1067140,967623,1069442,476179,593263,965321,590961,374360,0,0,0,True,bihar
225,rural,all ages,1963450,1029097,934353,1041529,463165,578364,921921,565932,355989,0,0,0,True,bihar
225,urban,all ages,71313,38043,33270,27913,13014,14899,43400,25029,18371,0,0,0,True,bihar
226,total,all ages,1367765,729041,638724,565948,255300,310648,801817,473741,328076,0,0,0,True,bihar
226,rural,all ages,987645,527299,460346,450624,203058,247566,537021,324241,212780,0,0,0,True,bihar
226,urban,all ages,380120,201742,178378,115324,52242,63082,264796,149500,115296,0,0,0,True,bihar
227,total,all ages,1000912,526345,474567,493642,221163,272479,507270,305182,202088,0,0,0,True,bihar
227,rural,all ages,857901,450863,407038,435279,194718,240561,422622,256145,166477,0,0,0,True,bihar
227,urban,all ages,143011,75482,67529,58363,26445,31918,84648,49037,35611,0,0,0,True,bihar
228,total,all ages,636342,329743,306599,307666,133312,174354,328676,196431,132245,0,0,0,True,bihar
228,rural,all ages,527340,272360,254980,262845,113236,149609,264495,159124,105371,0,0,0,True,bihar
228,urban,all ages,109002,57383,51619,44821,20076,24745,64181,37307,26874,0,0,0,True,bihar
229,total,all ages,2877653,1497060,1380593,1357720,577502,780218,1519933,919558,600375,0,0,0,True,bihar
229,rural,all ages,2419759,1257728,1162031,1187568,501205,686363,1232191,756523,475668,0,0,0,True,bihar
229,urban,all ages,457894,239332,218562,170152,76297,93855,287742,163035,124707,0,0,0,True,bihar
230,total,all ages,5838465,3078512,2759953,2378786,1050465,1328321,3459679,2028047,1431632,0,0,0,True,bihar
230,rural,all ages,3323875,1746025,1577850,1633503,710552,922951,1690372,1035473,654899,0,0,0,True,bihar
230,urban,all ages,2514590,1332487,1182103,745283,339913,405370,1769307,992574,776733,0,0,0,True,bihar
231,total,all ages,2728407,1430380,1298027,1129256,456894,672362,1599151,973486,625665,0,0,0,True,bihar
231,rural,all ages,2338546,1224274,1114272,999483,399555,599928,1339063,824719,514344,0,0,0,True,bihar
231,urban,all ages,389861,206106,183755,129773,57339,72434,260088,148767,111321,0,0,0,True,bihar
232,total,all ages,1706352,887977,818375,716545,294433,422112,989807,593544,396263,0,0,0,True,bihar
232,rural,all ages,1541853,801086,740767,663673,271003,392670,878180,530083,348097,0,0,0,True,bihar
232,urban,all ages,164499,86891,77608,52872,23430,29442,111627,63461,48166,0,0,0,True,bihar
233,total,all ages,1626384,847006,779378,706108,297083,409025,920276,549923,370353,0,0,0,True,bihar
233,rural,all ages,1560813,812298,748515,686768,288573,398195,874045,523725,350320,0,0,0,True,bihar
233,urban,all ages,65571,34708,30863,19340,8510,10830,46231,26198,20033,0,0,0,True,bihar
234,total,all ages,2959918,1543546,1416372,1160086,481763,678323,1799832,1061783,738049,0,0,0,True,bihar
234,rural,all ages,2532153,1318276,1213877,1018106,419317,598789,1514047,898959,615088,0,0,0,True,bihar
234,urban,all ages,427765,225270,202495,141980,62446,79534,285785,162824,122961,0,0,0,True,bihar
235,total,all ages,2540073,1318684,1221389,1074071,449951,624120,1466002,868733,597269,0,0,0,True,bihar
235,rural,all ages,2303219,1194619,1108600,995181,415047,580134,1308038,779572,528466,0,0,0,True,bihar
235,urban,all ages,236854,124065,112789,78890,34904,43986,157964,89161,68803,0,0,0,True,bihar
236,total,all ages,4391418,2266566,2124852,2093805,897763,1196042,2297613,1368803,928810,0,0,0,True,bihar
236,rural,all ages,3809817,1960592,1849225,1913909,817175,1096734,1895908,1143417,752491,0,0,0,True,bihar
236,urban,all ages,581601,305974,275627,179896,80588,99308,401705,225386,176319,0,0,0,True,bihar
237,total,all ages,2219146,1144668,1074478,1128134,485194,642940,1091012,659474,431538,0,0,0,True,bihar
237,rural,all ages,2003567,1031656,971911,1049475,449576,599899,954092,582080,372012,0,0,0,True,bihar
237,urban,all ages,215579,113012,102567,78659,35618,43041,136920,77394,59526,0,0,0,True,bihar
238,total,all ages,1760405,916064,844341,901817,381679,520138,858588,534385,324203,0,0,0,True,bihar
238,rural,all ages,1615072,839776,775296,847761,358592,489169,767311,481184,286127,0,0,0,True,bihar
238,urban,all ages,145333,76288,69045,54056,23087,30969,91277,53201,38076,0,0,0,True,bihar
239,total,all ages,1125313,585582,539731,506432,211170,295262,618881,374412,244469,0,0,0,True,bihar
239,rural,all ages,990117,514154,475963,458676,190014,268662,531441,324140,207301,0,0,0,True,bihar
239,urban,all ages,135196,71428,63768,47756,21156,26600,87440,50272,37168,0,0,0,True,bihar
240,total,all ages,700843,363497,337346,314492,128218,186274,386351,235279,151072,0,0,0,True,bihar
240,rural,all ages,648994,336420,312574,294759,120153,174606,354235,216267,137968,0,0,0,True,bihar
240,urban,all ages,51849,27077,24772,19733,8065,11668,32116,19012,13104,0,0,0,True,bihar
90,total,all ages,3656539,1960922,1695617,948684,418970,529714,2707855,1541952,1165903,0,0,0,True,nct_of_delhi
90,rural,all ages,213950,115680,98270,66623,28637,37986,147327,87043,60284,0,0,0,True,nct_of_delhi
90,urban,all ages,3442589,1845242,1597347,882061,390333,491728,2560528,1454909,1105619,0,0,0,True,nct_of_delhi
91,total,all ages,887978,475002,412976,206461,93387,113074,681517,381615,299902,0,0,0,True,nct_of_delhi
91,rural,all ages,17746,9546,8200,4506,1846,2660,13240,7700,5540,0,0,0,True,nct_of_delhi
91,urban,all ages,870232,465456,404776,201955,91541,110414,668277,373915,294362,0,0,0,True,nct_of_delhi
92,total,all ages,2241624,1188425,1053199,630036,275944,354092,1611588,912481,699107,0,0,0,True,nct_of_delhi
92,rural,all ages,21527,11718,9809,7062,3203,3859,14465,8515,5950,0,0,0,True,nct_of_delhi
92,urban,all ages,2220097,1176707,1043390,622974,272741,350233,1597123,903966,693157,0,0,0,True,nct_of_delhi
93,total,all ages,1709346,907500,801846,356348,159118,197230,1352998,748382,604616,0,0,0,True,nct_of_delhi
93,rural,all ages,3530,1861,1669,544,278,266,2986,1583,1403,0,0,0,True,nct_of_delhi
93,urban,all ages,1705816,905639,800177,355804,158840,196964,1350012,746799,603213,0,0,0,True,nct_of_delhi
94,total,all ages,142004,77942,64062,27825,12264,15561,114179,65678,48501,0,0,0,True,nct_of_delhi
94,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True,nct_of_delhi
94,urban,all ages,142004,77942,64062,27825,12264,15561,114179,65678,48501,0,0,0,True,nct_of_delhi
95,total,all ages,582320,307821,274499,139960,67303,72657,442360,240518,201842,0,0,0,True,nct_of_delhi
95,rural,all ages,0,0,0,0,0,0,0,0,0,0,0,0,True,nct_of_delhi
95,urban,all ages,582320,307821,274499,139960,67303,72657,442360,240518,201842,0,0,0,True,nct_of_delhi
96,total,all ages,2543243,1356240,1187003,582064,262307,319757,1961179,1093933,867246,0,0,0,True,nct_of_delhi
96,rural,all ages,6420,3355,3065,1972,792,1180,4448,2563,1885,0,0,0,True,nct_of_delhi
96,urban,all ages,2536823,1352885,1183938,580092,261515,318577,1956731,1091370,865361,0,0,0,True,nct_of_delhi
97,total,all ages,2292958,1246046,1046912,505269,220785,284484,1787689,1025261,762428,0,0,0,True,nct_of_delhi
97,rural,all ages,143676,77342,66334,37678,15455,22223,105998,61887,44111,0,0,0,True,nct_of_delhi
97,urban,all ages,2149282,1168704,980578,467591,205330,262261,1681691,963374,718317,0,0,0,True,nct_of_delhi
98,total,all ages,2731929,1467428,1264501,653527,282392,371135,2078402,1185036,893366,0,0,0,True,nct_of_delhi
98,rural,all ages,12193,6819,5374,4057,1783,2274,8136,5036,3100,0,0,0,True,nct_of_delhi
98,urban,all ages,2719736,1460609,1259127,649470,280609,368861,2070266,1180000,890266,0,0,0,True,nct_of_delhi
281,total,all ages,86364,44828,41536,26173,11851,14322,60191,32977,27214,0,0,0,True,mizoram
281,rural,all ages,71465,37135,34330,23291,10403,12888,48174,26732,21442,0,0,0,True,mizoram
281,urban,all ages,14899,7693,7206,2882,1448,1434,12017,6245,5772,0,0,0,True,mizoram
282,total,all ages,83955,42918,41037,18060,8771,9289,65895,34147,31748,0,0,0,True,mizoram
282,rural,all ages,37077,19097,17980,9807,4710,5097,27270,14387,12883,0,0,0,True,mizoram
282,urban,all ages,46878,23821,23057,8253,4061,4192,38625,19760,18865,0,0,0,True,mizoram
283,total,all ages,400309,199270,201039,59714,29723,29991,340595,169547,171048,0,0,0,True,mizoram
283,rural,all ages,85555,43780,41775,15780,7866,7914,69775,35914,33861,0,0,0,True,mizoram
283,urban,all ages,314754,155490,159264,43934,21857,22077,270820,133633,137187,0,0,0,True,mizoram
284,total,all ages,125745,63388,62357,24943,11948,12995,100802,51440,49362,0,0,0,True,mizoram
284,rural,all ages,77216,39110,38106,16194,7730,8464,61022,31380,29642,0,0,0,True,mizoram
284,urban,all ages,48529,24278,24251,8749,4218,4531,39780,20060,19720,0,0,0,True,mizoram
285,total,all ages,64937,32851,32086,10461,5253,5208,54476,27598,26878,0,0,0,True,mizoram
285,rural,all ages,32918,16643,16275,5824,2896,2928,27094,13747,13347,0,0,0,True,mizoram
285,urban,all ages,32019,16208,15811,4637,2357,2280,27382,13851,13531,0,0,0,True,mizoram
286,total,all ages,161428,82891,78537,40306,18376,21930,121122,64515,56607,0,0,0,True,mizoram
286,rural,all ages,92676,47577,45099,30562,13510,17052,62114,34067,28047,0,0,0,True,mizoram
286,urban,all ages,68752,35314,33438,9744,4866,4878,59008,30448,28560,0,0,0,True,mizoram
287,total,all ages,117894,60599,57295,55033,24155,30878,62861,36444,26417,0,0,0,True,mizoram
287,rural,all ages,97064,49940,47124,51142,22296,28846,45922,27644,18278,0,0,0,True,mizoram
287,urban,all ages,20830,10659,10171,3891,1859,2032,16939,8800,8139,0,0,0,True,mizoram
288,total,all ages,56574,28594,27980,14341,6733,7608,42233,21861,20372,0,0,0,True,mizoram
288,rural,all ages,31464,15853,15611,9501,4324,5177,21963,11529,10434,0,0,0,True,mizoram
288,urban,all ages,25110,12741,12369,4840,2409,2431,20270,10332,9938,0,0,0,True,mizoram
300,total,all ages,887142,452905,434237,397837,177685,220152,489305,275220,214085,0,0,0,True,assam
300,rural,all ages,832201,424446,407755,386311,172788,213523,445890,251658,194232,0,0,0,True,assam
300,urban,all ages,54941,28459,26482,11526,4897,6629,43415,23562,19853,0,0,0,True,assam
301,total,all ages,1949258,997848,951410,1026917,486297,540620,922341,511551,410790,0,0,0,True,assam
301,rural,all ages,1745557,893914,851643,971911,462519,509392,773646,431395,342251,0,0,0,True,assam
301,urban,all ages,203701,103934,99767,55006,23778,31228,148695,80156,68539,0,0,0,True,assam
302,total,all ages,1008183,513292,494891,444606,208990,235616,563577,304302,259275,0,0,0,True,assam
302,rural,all ages,870121,443244,426877,396733,187159,209574,473388,256085,217303,0,0,0,True,assam
302,urban,all ages,138062,70048,68014,47873,21831,26042,90189,48217,41972,0,0,0,True,assam
303,total,all ages,1693622,867004,826618,796564,367966,428598,897058,499038,398020,0,0,0,True,assam
303,rural,all ages,1546269,791789,754480,763807,354087,409720,782462,437702,344760,0,0,0,True,assam
303,urban,all ages,147353,75215,72138,32757,13879,18878,114596,61336,53260,0,0,0,True,assam
304,total,all ages,957423,486651,470772,417521,196953,220568,539902,289698,250204,0,0,0,True,assam
304,rural,all ages,884125,449123,435002,398595,188520,210075,485530,260603,224927,0,0,0,True,assam
304,urban,all ages,73298,37528,35770,18926,8433,10493,54372,29095,25277,0,0,0,True,assam
305,total,all ages,2823768,1439112,1384656,1113052,517262,595790,1710716,921850,788866,0,0,0,True,assam
305,rural,all ages,2454234,1250985,1203249,1031734,481468,550266,1422500,769517,652983,0,0,0,True,assam
305,urban,all ages,369534,188127,181407,81318,35794,45524,288216,152333,135883,0,0,0,True,assam
306,total,all ages,1924110,983904,940206,815538,363379,452159,1108572,620525,488047,0,0,0,True,assam
306,rural,all ages,1750265,894985,855280,782526,348834,433692,967739,546151,421588,0,0,0,True,assam
306,urban,all ages,173845,88919,84926,33012,14545,18467,140833,74374,66459,0,0,0,True,assam
307,total,all ages,1042137,529674,512463,358651,154122,204529,683486,375552,307934,0,0,0,True,assam
307,rural,all ages,950804,482582,468222,337628,144776,192852,613176,337806,275370,0,0,0,True,assam
307,urban,all ages,91333,47092,44241,21023,9346,11677,70310,37746,32564,0,0,0,True,assam
308,total,all ages,686133,351249,334884,263105,113488,149617,423028,237761,185267,0,0,0,True,assam
308,rural,all ages,637848,326278,311570,250436,107896,142540,387412,218382,169030,0,0,0,True,assam
308,urban,all ages,48285,24971,23314,12669,5592,7077,35616,19379,16237,0,0,0,True,assam
309,total,all ages,1327929,680231,647698,529607,226782,302825,798322,453449,344873,0,0,0,True,assam
309,rural,all ages,1063186,541395,521791,472577,201524,271053,590609,339871,250738,0,0,0,True,assam
309,urban,all ages,264743,138836,125907,57030,25258,31772,207713,113578,94135,0,0,0,True,assam
310,total,all ages,1326335,676434,649901,441804,185073,256731,884531,491361,393170,0,0,0,True,assam
310,rural,all ages,1082605,550299,532306,397032,165177,231855,685573,385122,300451,0,0,0,True,assam
310,urban,all ages,243730,126135,117595,44772,19896,24876,198958,106239,92719,0,0,0,True,assam
311,total,all ages,1151050,589216,561834,337545,144449,193096,813505,444767,368738,0,0,0,True,assam
311,rural,all ages,1040954,531286,509668,317464,135014,182450,723490,396272,327218,0,0,0,True,assam
311,urban,all ages,110096,57930,52166,20081,9435,10646,90015,48495,41520,0,0,0,True,assam
312,total,all ages,1092256,556805,535451,297327,124470,172857,794929,432335,362594,0,0,0,True,assam
312,rural,all ages,871722,442968,428754,256974,106270,150704,614748,336698,278050,0,0,0,True,assam
312,urban,all ages,220534,113837,106697,40353,18200,22153,180181,95637,84544,0,0,0,True,assam
313,total,all ages,1066888,543161,523727,345124,146686,198438,721764,396475,325289,0,0,0,True,assam
313,rural,all ages,969152,493125,476027,328174,139086,189088,640978,354039,286939,0,0,0,True,assam
313,urban,all ages,97736,50036,47700,16950,7600,9350,80786,42436,38350,0,0,0,True,assam
314,total,all ages,956313,490167,466146,399099,175914,223185,557214,314253,242961,0,0,0,True,assam
314,rural,all ages,843347,431924,411423,373237,164710,208527,470110,267214,202896,0,0,0,True,assam
314,urban,all ages,112966,58243,54723,25862,11204,14658,87104,47039,40065,0,0,0,True,assam
315,total,all ages,214102,110802,103300,73229,32243,40986,140873,78559,62314,0,0,0,True,assam
315,rural,all ages,151613,77817,73796,61604,27159,34445,90009,50658,39351,0,0,0,True,assam
315,urban,all ages,62489,32985,29504,11625,5084,6541,50864,27901,22963,0,0,0,True,assam
316,total,all ages,1736617,886284,850333,562489,246338,316151,1174128,639946,534182,0,0,0,True,assam
316,rural,all ages,1421153,727083,694070,497417,217462,279955,923736,509621,414115,0,0,0,True,assam
316,urban,all ages,315464,159201,156263,65072,28876,36196,250392,130325,120067,0,0,0,True,assam
317,total,all ages,1228686,625864,602822,433389,189922,243467,795297,435942,359355,0,0,0,True,assam
317,rural,all ages,1118986,570510,548476,414726,181664,233062,704260,388846,315414,0,0,0,True,assam
317,urban,all ages,109700,55354,54346,18663,8258,10405,91037,47096,43941,0,0,0,True,assam
318,total,all ages,659296,337890,321406,251930,111054,140876,407366,226836,180530,0,0,0,True,assam
318,rural,all ages,611156,313747,297409,244194,107658,136536,366962,206089,160873,0,0,0,True,assam
318,urban,all ages,48140,24143,23997,7736,3396,4340,40404,20747,19657,0,0,0,True,assam
319,total,all ages,738804,375818,362986,304726,138704,166022,434078,237114,196964,0,0,0,True,assam
319,rural,all ages,628994,319786,309208,281125,128628,152497,347869,191158,156711,0,0,0,True,assam
319,urban,all ages,109810,56032,53778,23601,10076,13525,86209,45956,40253,0,0,0,True,assam
320,total,all ages,482162,244860,237302,222260,98991,123269,259902,145869,114033,0,0,0,True,assam
320,rural,all ages,446825,226895,219930,212362,94793,117569,234463,132102,102361,0,0,0,True,assam
320,urban,all ages,35337,17965,17372,9898,4198,5700,25439,13767,11672,0,0,0,True,assam
321,total,all ages,1517542,778461,739081,522223,228242,293981,995319,550219,445100,0,0,0,True,assam
321,rural,all ages,1375148,706140,669008,493366,216533,276833,881782,489607,392175,0,0,0,True,assam
321,urban,all ages,142394,72321,70073,28857,11709,17148,113537,60612,52925,0,0,0,True,assam
322,total,all ages,1253938,647585,606353,252747,110358,142389,1001191,537227,463964,0,0,0,True,assam
322,rural,all ages,216927,111062,105865,71986,30959,41027,144941,80103,64838,0,0,0,True,assam
322,urban,all ages,1037011,536523,500488,180761,79399,101362,856250,457124,399126,0,0,0,True,assam
323,total,all ages,771639,396006,375633,239868,102822,137046,531771,293184,238587,0,0,0,True,assam
323,rural,all ages,688909,353677,335232,224698,96537,128161,464211,257140,207071,0,0,0,True,assam
323,urban,all ages,82730,42329,40401,15170,6285,8885,67560,36044,31516,0,0,0,True,assam
324,total,all ages,950075,481330,468745,377238,158716,218522,572837,322614,250223,0,0,0,True,assam
324,rural,all ages,937833,475027,462806,372973,156847,216126,564860,318180,246680,0,0,0,True,assam
324,urban,all ages,12242,6303,5939,4265,1869,2396,7977,4434,3543,0,0,0,True,assam
325,total,all ages,928500,475273,453227,441461,206607,234854,487039,268666,218373,0,0,0,True,assam
325,rural,all ages,873006,446460,426546,428931,201149,227782,444075,245311,198764,0,0,0,True,assam
325,urban,all ages,55494,28813,26681,12530,5458,7072,42964,23355,19609,0,0,0,True,assam
326,total,all ages,831668,421617,410051,361742,157291,204451,469926,264326,205600,0,0,0,True,assam
326,rural,all ages,794094,402442,391652,353077,153579,199498,441017,248863,192154,0,0,0,True,assam
326,urban,all ages,37574,19175,18399,8665,3712,4953,28909,15463,13446,0,0,0,True,assam
494,total,all ages,52074,25642,26432,14016,5315,8701,38058,20327,17731,0,0,0,True,daman_and_diu
494,rural,all ages,28083,14028,14055,9887,3765,6122,18196,10263,7933,0,0,0,True,daman_and_diu
494,urban,all ages,23991,11614,12377,4129,1550,2579,19862,10064,9798,0,0,0,True,daman_and_diu
495,total,all ages,191173,124659,66514,40825,20343,20482,150348,104316,46032,0,0,0,True,daman_and_diu
495,rural,all ages,32313,18367,13946,7420,3101,4319,24893,15266,9627,0,0,0,True,daman_and_diu
495,urban,all ages,158860,106292,52568,33405,17242,16163,125455,89050,36405,0,0,0,True,daman_and_diu
132,total,all ages,3466382,1834106,1632276,1389274,613992,775282,2077108,1220114,856994,0,0,0,True,uttar_pradesh
132,rural,all ages,2399856,1269803,1130053,1009810,436743,573067,1390046,833060,556986,0,0,0,True,uttar_pradesh
132,urban,all ages,1066526,564303,502223,379464,177249,202215,687062,387054,300008,0,0,0,True,uttar_pradesh
133,total,all ages,4143512,2193434,1950078,1726173,744906,981267,2417339,1448528,968811,0,0,0,True,uttar_pradesh
133,rural,all ages,2952200,1565004,1387196,1256806,532459,724347,1695394,1032545,662849,0,0,0,True,uttar_pradesh
133,urban,all ages,1191312,628430,562882,469367,212447,256920,721945,415983,305962,0,0,0,True,uttar_pradesh
134,total,all ages,3682713,1921215,1761498,1547320,679744,867576,2135393,1241471,893922,0,0,0,True,uttar_pradesh
134,rural,all ages,2757401,1438412,1318989,1161227,495476,665751,1596174,942936,653238,0,0,0,True,uttar_pradesh
134,urban,all ages,925312,482803,442509,386093,184268,201825,539219,298535,240684,0,0,0,True,uttar_pradesh
135,total,all ages,4772006,2503186,2268820,2508158,1145751,1362407,2263848,1357435,906413,0,0,0,True,uttar_pradesh
135,rural,all ages,3198383,1680022,1518361,1791241,800028,991213,1407142,879994,527148,0,0,0,True,uttar_pradesh
135,urban,all ages,1573623,823164,750459,716917,345723,371194,856706,477441,379265,0,0,0,True,uttar_pradesh
136,total,all ages,2335819,1223889,1111930,1292153,593481,698672,1043666,630408,413258,0,0,0,True,uttar_pradesh
136,rural,all ages,1747172,916878,830294,988193,446272,541921,758979,470606,288373,0,0,0,True,uttar_pradesh
136,urban,all ages,588647,307011,281636,303960,147209,156751,284687,159802,124885,0,0,0,True,uttar_pradesh
137,total,all ages,1840221,963449,876772,857111,362908,494203,983110,600541,382569,0,0,0,True,uttar_pradesh
137,rural,all ages,1381508,724539,656969,652301,268256,384045,729207,456283,272924,0,0,0,True,uttar_pradesh
137,urban,all ages,458713,238910,219803,204810,94652,110158,253903,144258,109645,0,0,0,True,uttar_pradesh
138,total,all ages,3443689,1825743,1617946,1302201,571223,730978,2141488,1254520,886968,0,0,0,True,uttar_pradesh
138,rural,all ages,1684507,894920,789587,681839,288160,393679,1002668,606760,395908,0,0,0,True,uttar_pradesh
