district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
168,total,all ages,1104285,593537,510748,450986,185412,265574,653299,408125,245174,0,0,0,True
168,rural,all ages,894437,481373,413064,382654,156763,225891,511783,324610,187173,0,0,0,True
168,urban,all ages,209848,112164,97684,68332,28649,39683,141516,83515,58001,0,0,0,True
169,total,all ages,875958,466358,409600,387852,164075,223777,488106,302283,185823,0,0,0,True
169,rural,all ages,690577,368009,322568,320861,135425,185436,369716,232584,137132,0,0,0,True
169,urban,all ages,185381,98349,87032,66991,28650,38341,118390,69699,48691,0,0,0,True
170,total,all ages,1799410,965876,833534,796473,335250,461223,1002937,630626,372311,0,0,0,True
170,rural,all ages,1523655,819243,704412,712521,300081,412440,811134,519162,291972,0,0,0,True
170,urban,all ages,275755,146633,129122,83952,35169,48783,191803,111464,80339,0,0,0,True
171,total,all ages,991730,527721,464009,460658,197382,263276,531072,330339,200733,0,0,0,True
171,rural,all ages,895398,476794,418604,427706,183292,244414,467692,293502,174190,0,0,0,True
171,urban,all ages,96332,50927,45405,32952,14090,18862,63380,36837,26543,0,0,0,True
172,total,all ages,2632733,1384722,1248011,1120567,473719,646848,1512166,911003,601163,0,0,0,True
172,rural,all ages,2310740,1215690,1095050,1011998,425214,586784,1298742,790476,508266,0,0,0,True
172,urban,all ages,321993,169032,152961,108569,48505,60064,213424,120527,92897,0,0,0,True
173,total,all ages,3209141,1606085,1603056,1277582,484704,792878,1931559,1121381,810178,0,0,0,True
173,rural,all ages,3033899,1515583,1518316,1224265,462227,762038,1809634,1053356,756278,0,0,0,True
173,urban,all ages,175242,90502,84740,53317,22477,30840,121925,68025,53900,0,0,0,True
174,total,all ages,1599596,838485,761111,786172,331206,454966,813424,507279,306145,0,0,0,True
174,rural,all ages,1475140,773335,701805,736098,309155,426943,739042,464180,274862,0,0,0,True
174,urban,all ages,124456,65150,59306,50074,22051,28023,74382,43099,31283,0,0,0,True
175,total,all ages,5954391,3131807,2822584,2288664,932467,1356197,3665727,2199340,1466387,0,0,0,True
175,rural,all ages,4481518,2340959,2140559,1896599,753876,1142723,2584919,1587083,997836,0,0,0,True
175,urban,all ages,1472873,790848,682025,392065,178591,213474,1080808,612257,468551,0,0,0,True
176,total,all ages,3260699,1707073,1553626,1568241,696555,871686,1692458,1010518,681940,0,0,0,True
176,rural,all ages,2929896,1533455,1396441,1436272,634154,802118,1493624,899301,594323,0,0,0,True
176,urban,all ages,330803,173618,157185,131969,62401,69568,198834,111217,87617,0,0,0,True
177,total,all ages,2470996,1259628,1211368,1020095,421289,598806,1450901,838339,612562,0,0,0,True
177,rural,all ages,2130743,1079257,1051486,921414,376185,545229,1209329,703072,506257,0,0,0,True
177,urban,all ages,340253,180371,159882,98681,45104,53577,241572,135267,106305,0,0,0,True
178,total,all ages,2397888,1212410,1185478,910949,365734,545215,1486939,846676,640263,0,0,0,True
178,rural,all ages,2117158,1067762,1049396,817492,324699,492793,1299666,743063,556603,0,0,0,True
178,urban,all ages,280730,144648,136082,93457,41035,52422,187273,103613,83660,0,0,0,True
179,total,all ages,3797117,1914586,1882531,1557215,614338,942877,2239902,1300248,939654,0,0,0,True
179,rural,all ages,3597201,1810496,1786705,1503527,591301,912226,2093674,1219195,874479,0,0,0,True
179,urban,all ages,199916,104090,95826,53688,23037,30651,146228,81053,65175,0,0,0,True
180,total,all ages,3487731,1843884,1643847,2089363,965599,1123764,1398368,878285,520083,0,0,0,True
180,rural,all ages,3203687,1695122,1508565,1973409,909151,1064258,1230278,785971,444307,0,0,0,True
180,urban,all ages,284044,148762,135282,115954,56448,59506,168090,92314,75776,0,0,0,True
181,total,all ages,1117361,593897,523464,694048,317197,376851,423313,276700,146613,0,0,0,True
181,rural,all ages,1078712,573681,505031,676333,308844,367489,402379,264837,137542,0,0,0,True
181,urban,all ages,38649,20216,18433,17715,8353,9362,20934,11863,9071,0,0,0,True
182,total,all ages,2148665,1114721,1033944,1280308,569778,710530,868357,544943,323414,0,0,0,True
182,rural,all ages,1982274,1027943,954331,1209264,536730,672534,773010,491213,281797,0,0,0,True
182,urban,all ages,166391,86778,79613,71044,33048,37996,95347,53730,41617,0,0,0,True
183,total,all ages,3433919,1787146,1646773,1753925,752965,1000960,1679994,1034181,645813,0,0,0,True
183,rural,all ages,3208890,1669058,1539832,1679725,718811,960914,1529165,950247,578918,0,0,0,True
183,urban,all ages,225029,118088,106941,74200,34154,40046,150829,83934,66895,0,0,0,True
184,total,all ages,2559297,1295095,1264202,1330371,554377,775994,1228926,740718,488208,0,0,0,True
184,rural,all ages,2398606,1212141,1186465,1267299,526905,740394,1131307,685236,446071,0,0,0,True
184,urban,all ages,160691,82954,77737,63072,27472,35600,97619,55482,42137,0,0,0,True
185,total,all ages,2464464,1255272,1209192,1070681,435553,635128,1393783,819719,574064,0,0,0,True
185,rural,all ages,2326367,1182846,1143521,1033048,419367,613681,1293319,763479,529840,0,0,0,True
185,urban,all ages,138097,72426,65671,37633,16186,21447,100464,56240,44224,0,0,0,True
186,total,all ages,1715183,869656,845527,760234,302558,457676,954949,567098,387851,0,0,0,True
186,rural,all ages,1586652,802609,784043,713850,282738,431112,872802,519871,352931,0,0,0,True
186,urban,all ages,128531,67047,61484,46384,19820,26564,82147,47227,34920,0,0,0,True
187,total,all ages,2684703,1381754,1302949,1265559,500080,765479,1419144,881674,537470,0,0,0,True
187,rural,all ages,2549973,1312126,1237847,1222797,482642,740155,1327176,829484,497692,0,0,0,True
187,urban,all ages,134730,69628,65102,42762,17438,25324,91968,52190,39778,0,0,0,True
188,total,all ages,4440895,2277777,2163118,1740567,683887,1056680,2700328,1593890,1106438,0,0,0,True
188,rural,all ages,3604766,1838726,1766040,1518138,587816,930322,2086628,1250910,835718,0,0,0,True
